"unique_id","CalDate","binomial","DailyCount","genus","year","month"
"00110R",2003-07-02,"Drepanosiphum platanoidis",3,"Drepanosiphum",2003,7
"00110R",2003-07-02,"Euceraphis punctipennis",15,"Euceraphis",2003,7
"00110R",2003-07-02,"Metopolophium dirhodum",2,"Metopolophium",2003,7
"00110R",2003-07-02,"Phyllaphis fagi",2,"Phyllaphis",2003,7
"00110R",2003-07-02,"Sitobion avenae",2,"Sitobion",2003,7
"00110R",2003-07-02,"Tuberculatus annulatus",1,"Tuberculatus",2003,7
"00110R",2003-07-02,"Utamphorophora humboldti",1,"Utamphorophora",2003,7
"00114R",2003-08-05,"Aphis spp",1,"Aphis",2003,8
"00114R",2003-08-05,"Drepanosiphum platanoidis",13,"Drepanosiphum",2003,8
"00114R",2003-08-05,"Hyadaphis foeniculi",1,"Hyadaphis",2003,8
"00114R",2003-08-05,"Hyalopterus pruni",1,"Hyalopterus",2003,8
"00114R",2003-08-05,"Pterocallis alni",1,"Pterocallis",2003,8
"00114R",2003-08-05,"Rhopalosiphum oxyacanthae",15,"Rhopalosiphum",2003,8
"00114R",2003-08-05,"Rhopalosiphum padi",3,"Rhopalosiphum",2003,8
"00114R",2003-08-05,"Sitobion avenae",1,"Sitobion",2003,8
"00116R",2003-08-16,"Anoecia corni",1,"Anoecia",2003,8
"00116R",2003-08-16,"Aphis fabae gp.",2,"Aphis",2003,8
"00116R",2003-08-16,"Drepanosiphum platanoidis",1,"Drepanosiphum",2003,8
"00116R",2003-08-16,"Hyalopterus pruni",1,"Hyalopterus",2003,8
"00116R",2003-08-16,"Myzus persicae",1,"Myzus",2003,8
"00116R",2003-08-16,"Pterocallis alni",4,"Pterocallis",2003,8
"00116R",2003-08-16,"Rhopalosiphum oxyacanthae",19,"Rhopalosiphum",2003,8
"00116R",2003-08-16,"Rhopalosiphum padi",9,"Rhopalosiphum",2003,8
"00116R",2003-08-16,"Sitobion avenae",2,"Sitobion",2003,8
"00116R",2003-08-16,"Utamphorophora humboldti",1,"Utamphorophora",2003,8
"00119R",2003-09-10,"Brachycaudus helichrysi",2,"Brachycaudus",2003,9
"00119R",2003-09-10,"Brevicoryne brassicae",1,"Brevicoryne",2003,9
"00119R",2003-09-10,"Drepanosiphum platanoidis",8,"Drepanosiphum",2003,9
"00119R",2003-09-10,"Eriosoma spp",1,"Eriosoma",2003,9
"00119R",2003-09-10,"Pemphigus spp",3,"Pemphigus",2003,9
"00119R",2003-09-10,"Rhopalosiphum oxyacanthae",24,"Rhopalosiphum",2003,9
"00119R",2003-09-10,"Rhopalosiphum padi",24,"Rhopalosiphum",2003,9
"00119R",2003-09-10,"Sitobion avenae",3,"Sitobion",2003,9
"00119R",2003-09-10,"Thecabius affinis",1,"Thecabius",2003,9
"0011R",2003-05-06,"Drepanosiphum platanoidis",10,"Drepanosiphum",2003,5
"0011R",2003-05-06,"Elatobium abietinum",1,"Elatobium",2003,5
"00121R",2003-09-24,"Drepanosiphum platanoidis",27,"Drepanosiphum",2003,9
"00121R",2003-09-24,"Rhopalosiphum oxyacanthae",18,"Rhopalosiphum",2003,9
"00121R",2003-09-24,"Rhopalosiphum padi",11,"Rhopalosiphum",2003,9
"00124R",2003-10-17,"Drepanosiphum platanoidis",36,"Drepanosiphum",2003,10
"00124R",2003-10-17,"Rhopalosiphum oxyacanthae",1,"Rhopalosiphum",2003,10
"00124R",2003-10-17,"Rhopalosiphum padi",3,"Rhopalosiphum",2003,10
"00125R",2003-10-26,"Drepanosiphum platanoidis",1,"Drepanosiphum",2003,10
"00125R",2003-10-26,"Pemphigus spp",1,"Pemphigus",2003,10
"00125R",2003-10-26,"Rhopalosiphum oxyacanthae",6,"Rhopalosiphum",2003,10
"00125R",2003-10-26,"Rhopalosiphum padi",7,"Rhopalosiphum",2003,10
"00125R",2003-10-26,"Sitobion fragariae",1,"Sitobion",2003,10
"0015R",2003-06-02,"Acyrthosiphon malvae",1,"Acyrthosiphon",2003,6
"0015R",2003-06-02,"Atheroides serrulatus",1,"Atheroides",2003,6
"0015R",2003-06-02,"Brachycaudus helichrysi",22,"Brachycaudus",2003,6
"0015R",2003-06-02,"Calaphis flava",1,"Calaphis",2003,6
"0015R",2003-06-02,"Capitophorus similis",1,"Capitophorus",2003,6
"0015R",2003-06-02,"Cavariella aegopodii",3,"Cavariella",2003,6
"0015R",2003-06-02,"Drepanosiphum platanoidis",8,"Drepanosiphum",2003,6
"0015R",2003-06-02,"Elatobium abietinum",9,"Elatobium",2003,6
"0015R",2003-06-02,"Eriosoma patchiae",1,"Eriosoma",2003,6
"0015R",2003-06-02,"Euceraphis punctipennis",2,"Euceraphis",2003,6
"0015R",2003-06-02,"Hyadaphis foeniculi",1,"Hyadaphis",2003,6
"0015R",2003-06-02,"Hyalopterus pruni",2,"Hyalopterus",2003,6
"0015R",2003-06-02,"Hyperomyzus lactucae",1,"Hyperomyzus",2003,6
"0015R",2003-06-02,"Myzus cerasi",1,"Myzus",2003,6
"0015R",2003-06-02,"Ovatomyzus chamaedrys",1,"Ovatomyzus",2003,6
"0015R",2003-06-02,"Thelaxes dryophila",1,"Thelaxes",2003,6
"0015R",2003-06-02,"Tuberculatus borealis",1,"Tuberculatus",2003,6
"0018R",2003-06-19,"Calaphis flava",1,"Calaphis",2003,6
"0018R",2003-06-19,"Cinara spp",2,"Cinara",2003,6
"0018R",2003-06-19,"Drepanosiphum platanoidis",1,"Drepanosiphum",2003,6
"0018R",2003-06-19,"Euceraphis punctipennis",4,"Euceraphis",2003,6
"0018R",2003-06-19,"Linosiphon galiophagum",1,"Linosiphon",2003,6
"0018R",2003-06-19,"Metopolophium dirhodum",1,"Metopolophium",2003,6
"0018R",2003-06-19,"Myzus persicae",1,"Myzus",2003,6
"0018R",2003-06-19,"Myzus cerasi",1,"Myzus",2003,6
"0018R",2003-06-19,"Phyllaphis fagi",1,"Phyllaphis",2003,6
"0018R",2003-06-19,"Rhopalosiphum oxyacanthae",1,"Rhopalosiphum",2003,6
"0018R",2003-06-19,"Sitobion avenae",1,"Sitobion",2003,6
"0018R",2003-06-19,"Thecabius affinis",2,"Thecabius",2003,6
"00211R",2004-07-17,"Acyrthosiphon pisum",1,"Acyrthosiphon",2004,7
"00211R",2004-07-17,"Brevicoryne brassicae",1,"Brevicoryne",2004,7
"00211R",2004-07-17,"Drepanosiphum platanoidis",1,"Drepanosiphum",2004,7
"00211R",2004-07-17,"Hayhurstia atriplicis",1,"Hayhurstia",2004,7
"00211R",2004-07-17,"Macrosiphum euphorbiae",1,"Macrosiphum",2004,7
"00211R",2004-07-17,"Metopolophium dirhodum",13,"Metopolophium",2004,7
"00211R",2004-07-17,"Myzus persicae",1,"Myzus",2004,7
"00211R",2004-07-17,"Rhopalosiphum padi",2,"Rhopalosiphum",2004,7
"00211R",2004-07-17,"Sitobion avenae",35,"Sitobion",2004,7
"00211R",2004-07-17,"Sitobion fragariae",1,"Sitobion",2004,7
"00211R",2004-07-17,"Utamphorophora humboldti",2,"Utamphorophora",2004,7
"00213R",2004-08-03,"Aphis fabae gp.",1,"Aphis",2004,8
"00213R",2004-08-03,"Metopolophium dirhodum",1,"Metopolophium",2004,8
"00213R",2004-08-03,"Rhopalosiphoninus staphyleae",1,"Rhopalosiphoninus",2004,8
"00213R",2004-08-03,"Rhopalosiphum oxyacanthae",6,"Rhopalosiphum",2004,8
"00213R",2004-08-03,"Rhopalosiphum padi",4,"Rhopalosiphum",2004,8
"00213R",2004-08-03,"Sitobion avenae",8,"Sitobion",2004,8
"00213R",2004-08-03,"Utamphorophora humboldti",1,"Utamphorophora",2004,8
"00214R",2004-08-10,"Drepanosiphum platanoidis",1,"Drepanosiphum",2004,8
"00214R",2004-08-10,"Hyalopterus pruni",1,"Hyalopterus",2004,8
"00214R",2004-08-10,"Muscaphis escherichi",1,"Muscaphis",2004,8
"00214R",2004-08-10,"Pemphigus spp",1,"Pemphigus",2004,8
"00214R",2004-08-10,"Phyllaphis fagi",4,"Phyllaphis",2004,8
"00214R",2004-08-10,"Rhopalosiphum oxyacanthae",7,"Rhopalosiphum",2004,8
"00214R",2004-08-10,"Rhopalosiphum padi",11,"Rhopalosiphum",2004,8
"00214R",2004-08-10,"Tubaphis ranunculina",1,"Tubaphis",2004,8
"00214R",2004-08-10,"Tuberculatus annulatus",1,"Tuberculatus",2004,8
"00214R",2004-08-10,"Utamphorophora humboldti",1,"Utamphorophora",2004,8
"00219R",2004-09-12,"Brachycaudus helichrysi",1,"Brachycaudus",2004,9
"00219R",2004-09-12,"Pemphigus spp",1,"Pemphigus",2004,9
"00219R",2004-09-12,"Rhopalosiphum padi",27,"Rhopalosiphum",2004,9
"00219R",2004-09-12,"Thecabius affinis",1,"Thecabius",2004,9
"0021R",2004-05-10,"Aulacorthum solani",1,"Aulacorthum",2004,5
"0021R",2004-05-10,"Drepanosiphum platanoidis",12,"Drepanosiphum",2004,5
"0021R",2004-05-10,"Elatobium abietinum",1,"Elatobium",2004,5
"0021R",2004-05-10,"Metopolophium festucae",3,"Metopolophium",2004,5
"00220R",2004-09-20,"Pemphigus spp",3,"Pemphigus",2004,9
"00220R",2004-09-20,"Rhopalosiphum oxyacanthae",1,"Rhopalosiphum",2004,9
"00220R",2004-09-20,"Rhopalosiphum padi",8,"Rhopalosiphum",2004,9
"00220R",2004-09-20,"Rhopalosiphum spp",2,"Rhopalosiphum",2004,9
"00222R",2004-10-03,"Drepanosiphum platanoidis",1,"Drepanosiphum",2004,10
"00222R",2004-10-03,"Rhopalosiphum oxyacanthae",14,"Rhopalosiphum",2004,10
"00222R",2004-10-03,"Rhopalosiphum padi",19,"Rhopalosiphum",2004,10
"00222R",2004-10-03,"Sitobion fragariae",1,"Sitobion",2004,10
"00225R",2004-10-27,"Capitophorus elaeagni",2,"Capitophorus",2004,10
"00225R",2004-10-27,"Rhopalosiphum oxyacanthae",8,"Rhopalosiphum",2004,10
"00225R",2004-10-27,"Rhopalosiphum padi",9,"Rhopalosiphum",2004,10
"0022R",2004-05-18,"Drepanosiphum platanoidis",21,"Drepanosiphum",2004,5
"0022R",2004-05-18,"Metopolophium festucae",1,"Metopolophium",2004,5
"0025R",2004-06-06,"Aphis spp",1,"Aphis",2004,6
"0025R",2004-06-06,"Aulacorthum spp",1,"Aulacorthum",2004,6
"0025R",2004-06-06,"Brachycaudus helichrysi",12,"Brachycaudus",2004,6
"0025R",2004-06-06,"Drepanosiphum platanoidis",11,"Drepanosiphum",2004,6
"0025R",2004-06-06,"Elatobium abietinum",9,"Elatobium",2004,6
"0025R",2004-06-06,"Euceraphis punctipennis",2,"Euceraphis",2004,6
"0025R",2004-06-06,"Hyadaphis foeniculi",1,"Hyadaphis",2004,6
"0025R",2004-06-06,"Phyllaphis fagi",3,"Phyllaphis",2004,6
"0025R",2004-06-06,"Rhopalosiphum oxyacanthae",1,"Rhopalosiphum",2004,6
"0025R",2004-06-06,"Sitobion avenae",1,"Sitobion",2004,6
"0025R",2004-06-06,"Tuberculatus annulatus",20,"Tuberculatus",2004,6
"0025R",2004-06-06,"Tuberculatus borealis",4,"Tuberculatus",2004,6
"0025R",2004-06-06,"Utamphorophora humboldti",2,"Utamphorophora",2004,6
"0028R",2004-06-29,"Drepanosiphum platanoidis",1,"Drepanosiphum",2004,6
"0028R",2004-06-29,"Euceraphis punctipennis",1,"Euceraphis",2004,6
"0028R",2004-06-29,"Hyalopterus pruni",1,"Hyalopterus",2004,6
"0028R",2004-06-29,"Macrosiphum euphorbiae",1,"Macrosiphum",2004,6
"0028R",2004-06-29,"Metopolophium dirhodum",5,"Metopolophium",2004,6
"0028R",2004-06-29,"Metopolophium festucae",2,"Metopolophium",2004,6
"0028R",2004-06-29,"Microlophium carnosum",1,"Microlophium",2004,6
"0028R",2004-06-29,"Phyllaphis fagi",1,"Phyllaphis",2004,6
"0028R",2004-06-29,"Sitobion avenae",4,"Sitobion",2004,6
"0028R",2004-06-29,"Tuberculatus annulatus",1,"Tuberculatus",2004,6
"0029R",2004-07-06,"Acyrthosiphon pisum",1,"Acyrthosiphon",2004,7
"0029R",2004-07-06,"Brachycaudus helichrysi",2,"Brachycaudus",2004,7
"0029R",2004-07-06,"Cavariella aegopodii",1,"Cavariella",2004,7
"0029R",2004-07-06,"Drepanosiphum platanoidis",7,"Drepanosiphum",2004,7
"0029R",2004-07-06,"Eriosoma spp",1,"Eriosoma",2004,7
"0029R",2004-07-06,"Euceraphis punctipennis",1,"Euceraphis",2004,7
"0029R",2004-07-06,"Eulachnus brevipilosus",1,"Eulachnus",2004,7
"0029R",2004-07-06,"Metopolophium dirhodum",19,"Metopolophium",2004,7
"0029R",2004-07-06,"Myzocallis coryli",1,"Myzocallis",2004,7
"0029R",2004-07-06,"Myzus persicae",1,"Myzus",2004,7
"0029R",2004-07-06,"Phyllaphis fagi",4,"Phyllaphis",2004,7
"0029R",2004-07-06,"Pterocallis alni",1,"Pterocallis",2004,7
"0029R",2004-07-06,"Rhopalosiphum oxyacanthae",2,"Rhopalosiphum",2004,7
"0029R",2004-07-06,"Sitobion avenae",20,"Sitobion",2004,7
"0029R",2004-07-06,"Tuberculatus annulatus",1,"Tuberculatus",2004,7
"0029R",2004-07-06,"Utamphorophora humboldti",1,"Utamphorophora",2004,7
"00311R",2005-07-22,"Cavariella pastinacae",1,"Cavariella",2005,7
"00311R",2005-07-22,"Euceraphis punctipennis",1,"Euceraphis",2005,7
"00311R",2005-07-22,"Phyllaphis fagi",1,"Phyllaphis",2005,7
"00311R",2005-07-22,"Rhopalosiphum oxyacanthae",6,"Rhopalosiphum",2005,7
"00311R",2005-07-22,"Rhopalosiphum padi",1,"Rhopalosiphum",2005,7
"00311R",2005-07-22,"Sitobion avenae",2,"Sitobion",2005,7
"00311R",2005-07-22,"Sitobion fragariae",2,"Sitobion",2005,7
"00311R",2005-07-22,"Sitobion spp",1,"Sitobion",2005,7
"00311R",2005-07-22,"Tuberculatus borealis",2,"Tuberculatus",2005,7
"00312R",2005-07-26,"Aphis rumicis",1,"Aphis",2005,7
"00312R",2005-07-26,"Aphis sambuci",1,"Aphis",2005,7
"00312R",2005-07-26,"Aphis spp",1,"Aphis",2005,7
"00312R",2005-07-26,"Brevicoryne brassicae",1,"Brevicoryne",2005,7
"00312R",2005-07-26,"Cinara spp",3,"Cinara",2005,7
"00312R",2005-07-26,"Drepanosiphum platanoidis",1,"Drepanosiphum",2005,7
"00312R",2005-07-26,"Hyalopterus pruni",1,"Hyalopterus",2005,7
"00312R",2005-07-26,"Myzus cerasi",2,"Myzus",2005,7
"00312R",2005-07-26,"Rhopalosiphum oxyacanthae",28,"Rhopalosiphum",2005,7
"00312R",2005-07-26,"Rhopalosiphum padi",3,"Rhopalosiphum",2005,7
"00312R",2005-07-26,"Sitobion avenae",12,"Sitobion",2005,7
"00312R",2005-07-26,"Sitobion fragariae",4,"Sitobion",2005,7
"00312R",2005-07-26,"Thecabius affinis",1,"Thecabius",2005,7
"00312R",2005-07-26,"Utamphorophora humboldti",1,"Utamphorophora",2005,7
"00315R",2005-08-18,"Aphis fabae gp.",7,"Aphis",2005,8
"00315R",2005-08-18,"Brachycaudus helichrysi",1,"Brachycaudus",2005,8
"00315R",2005-08-18,"Capitophorus hippophaes",1,"Capitophorus",2005,8
"00315R",2005-08-18,"Cavariella pastinacae",1,"Cavariella",2005,8
"00315R",2005-08-18,"Drepanosiphum platanoidis",1,"Drepanosiphum",2005,8
"00315R",2005-08-18,"Hyalopterus pruni",2,"Hyalopterus",2005,8
"00315R",2005-08-18,"Metopolophium dirhodum",2,"Metopolophium",2005,8
"00315R",2005-08-18,"Muscaphis escherichi",1,"Muscaphis",2005,8
"00315R",2005-08-18,"Pemphigus spp",1,"Pemphigus",2005,8
"00315R",2005-08-18,"Pterocallis alni",4,"Pterocallis",2005,8
"00315R",2005-08-18,"Rhopalosiphum oxyacanthae",13,"Rhopalosiphum",2005,8
"00315R",2005-08-18,"Rhopalosiphum padi",7,"Rhopalosiphum",2005,8
"00315R",2005-08-18,"Sitobion avenae",4,"Sitobion",2005,8
"00315R",2005-08-18,"Thecabius affinis",3,"Thecabius",2005,8
"00315R",2005-08-18,"Tuberculatus annulatus",1,"Tuberculatus",2005,8
"00315R",2005-08-18,"Tuberculatus borealis",3,"Tuberculatus",2005,8
"00315R",2005-08-18,"Utamphorophora humboldti",3,"Utamphorophora",2005,8
"00317R",2005-08-29,"Anoecia corni",1,"Anoecia",2005,8
"00317R",2005-08-29,"Aphis spp",1,"Aphis",2005,8
"00317R",2005-08-29,"Brachycaudus helichrysi",3,"Brachycaudus",2005,8
"00317R",2005-08-29,"Calaphis flava",1,"Calaphis",2005,8
"00317R",2005-08-29,"Capitophorus hippophaes",1,"Capitophorus",2005,8
"00317R",2005-08-29,"Cavariella theobaldi",2,"Cavariella",2005,8
"00317R",2005-08-29,"Drepanosiphum platanoidis",5,"Drepanosiphum",2005,8
"00317R",2005-08-29,"Eriosoma patchiae",1,"Eriosoma",2005,8
"00317R",2005-08-29,"Eriosoma spp",1,"Eriosoma",2005,8
"00317R",2005-08-29,"Macrosiphum rosae",1,"Macrosiphum",2005,8
"00317R",2005-08-29,"Metopolophium dirhodum",1,"Metopolophium",2005,8
"00317R",2005-08-29,"Pemphigus spp",1,"Pemphigus",2005,8
"00317R",2005-08-29,"Pterocallis alni",5,"Pterocallis",2005,8
"00317R",2005-08-29,"Rhopalosiphum oxyacanthae",35,"Rhopalosiphum",2005,8
"00317R",2005-08-29,"Rhopalosiphum padi",19,"Rhopalosiphum",2005,8
"00317R",2005-08-29,"Sitobion avenae",2,"Sitobion",2005,8
"00317R",2005-08-29,"Thecabius affinis",2,"Thecabius",2005,8
"00317R",2005-08-29,"Tuberculatus annulatus",2,"Tuberculatus",2005,8
"00317R",2005-08-29,"Tuberculatus borealis",1,"Tuberculatus",2005,8
"00318R",2005-09-08,"Acyrthosiphon malvae",1,"Acyrthosiphon",2005,9
"00318R",2005-09-08,"Aphis spp",2,"Aphis",2005,9
"00318R",2005-09-08,"Brachycaudus helichrysi",1,"Brachycaudus",2005,9
"00318R",2005-09-08,"Capitophorus hippophaes",1,"Capitophorus",2005,9
"00318R",2005-09-08,"Cavariella archangelicae",2,"Cavariella",2005,9
"00318R",2005-09-08,"Cavariella theobaldi",1,"Cavariella",2005,9
"00318R",2005-09-08,"Drepanosiphum platanoidis",1,"Drepanosiphum",2005,9
"00318R",2005-09-08,"Eriosoma patchiae",1,"Eriosoma",2005,9
"00318R",2005-09-08,"Hyadaphis foeniculi",1,"Hyadaphis",2005,9
"00318R",2005-09-08,"Pemphigus spp",4,"Pemphigus",2005,9
"00318R",2005-09-08,"Pterocallis alni",6,"Pterocallis",2005,9
"00318R",2005-09-08,"Rhopalosiphum oxyacanthae",17,"Rhopalosiphum",2005,9
"00318R",2005-09-08,"Rhopalosiphum padi",28,"Rhopalosiphum",2005,9
"00318R",2005-09-08,"Sitobion avenae",1,"Sitobion",2005,9
"00318R",2005-09-08,"Thecabius affinis",10,"Thecabius",2005,9
"00318R",2005-09-08,"Tuberculatus annulatus",2,"Tuberculatus",2005,9
"00319R",2005-09-10,"Aphis salicariae",1,"Aphis",2005,9
"00319R",2005-09-10,"Calaphis flava",1,"Calaphis",2005,9
"00319R",2005-09-10,"Eriosoma patchiae",1,"Eriosoma",2005,9
"00319R",2005-09-10,"Pemphigus spp",3,"Pemphigus",2005,9
"00319R",2005-09-10,"Pterocallis alni",12,"Pterocallis",2005,9
"00319R",2005-09-10,"Rhopalosiphum oxyacanthae",26,"Rhopalosiphum",2005,9
"00319R",2005-09-10,"Rhopalosiphum padi",49,"Rhopalosiphum",2005,9
"00319R",2005-09-10,"Thecabius affinis",3,"Thecabius",2005,9
"0031R",2005-05-12,"Elatobium abietinum",19,"Elatobium",2005,5
"00323R",2005-10-08,"Drepanosiphum platanoidis",1,"Drepanosiphum",2005,10
"00323R",2005-10-08,"Pemphigus spp",1,"Pemphigus",2005,10
"00323R",2005-10-08,"Rhopalosiphum oxyacanthae",5,"Rhopalosiphum",2005,10
"00323R",2005-10-08,"Rhopalosiphum padi",4,"Rhopalosiphum",2005,10
"00326R",2005-10-31,"Euceraphis punctipennis",2,"Euceraphis",2005,10
"00326R",2005-10-31,"Pemphigus spp",7,"Pemphigus",2005,10
"00326R",2005-10-31,"Rhopalosiphum oxyacanthae",4,"Rhopalosiphum",2005,10
"00326R",2005-10-31,"Rhopalosiphum padi",3,"Rhopalosiphum",2005,10
"00326R",2005-10-31,"Sitobion fragariae",2,"Sitobion",2005,10
"0034R",2005-05-31,"Cavariella aegopodii",1,"Cavariella",2005,5
"0034R",2005-05-31,"Cavariella theobaldi",1,"Cavariella",2005,5
"0034R",2005-05-31,"Ceruraphis eriophori",1,"Ceruraphis",2005,5
"0034R",2005-05-31,"Elatobium abietinum",17,"Elatobium",2005,5
"0034R",2005-05-31,"Rhopalosiphum padi",3,"Rhopalosiphum",2005,5
"0034R",2005-05-31,"Utamphorophora humboldti",5,"Utamphorophora",2005,5
"0036R",2005-06-11,"Aphis spp",2,"Aphis",2005,6
"0036R",2005-06-11,"Brachycaudus helichrysi",1,"Brachycaudus",2005,6
"0036R",2005-06-11,"Cavariella aegopodii",1,"Cavariella",2005,6
"0036R",2005-06-11,"Cavariella pastinacae",1,"Cavariella",2005,6
"0036R",2005-06-11,"Cinara spp",1,"Cinara",2005,6
"0036R",2005-06-11,"Drepanosiphum platanoidis",1,"Drepanosiphum",2005,6
"0036R",2005-06-11,"Elatobium abietinum",9,"Elatobium",2005,6
"0036R",2005-06-11,"Macrosiphum rosae",1,"Macrosiphum",2005,6
"0036R",2005-06-11,"Microlophium carnosum",1,"Microlophium",2005,6
"0036R",2005-06-11,"Nasonovia ribisnigri",1,"Nasonovia",2005,6
"0036R",2005-06-11,"Sitobion fragariae",2,"Sitobion",2005,6
"0036R",2005-06-11,"Utamphorophora humboldti",3,"Utamphorophora",2005,6
"0038R",2005-06-30,"Aphis spp",3,"Aphis",2005,6
"0038R",2005-06-30,"Cavariella aegopodii",1,"Cavariella",2005,6
"0038R",2005-06-30,"Forda marginata",1,"Forda",2005,6
"0038R",2005-06-30,"Hyadaphis foeniculi",1,"Hyadaphis",2005,6
"0038R",2005-06-30,"Hyperomyzus lactucae",1,"Hyperomyzus",2005,6
"0038R",2005-06-30,"Macrosiphum euphorbiae",1,"Macrosiphum",2005,6
"0038R",2005-06-30,"Metopolophium dirhodum",1,"Metopolophium",2005,6
"0038R",2005-06-30,"Microlophium carnosum",1,"Microlophium",2005,6
"0038R",2005-06-30,"Myzus cerasi",4,"Myzus",2005,6
"0038R",2005-06-30,"Myzus ornatus",1,"Myzus",2005,6
"0038R",2005-06-30,"Phyllaphis fagi",5,"Phyllaphis",2005,6
"0038R",2005-06-30,"Rhopalosiphum padi",1,"Rhopalosiphum",2005,6
"0038R",2005-06-30,"Sitobion avenae",1,"Sitobion",2005,6
"0038R",2005-06-30,"Utamphorophora humboldti",2,"Utamphorophora",2005,6
"00411R",2006-08-08,"Aphis spp",2,"Aphis",2006,8
"00411R",2006-08-08,"Brachycaudus helichrysi",2,"Brachycaudus",2006,8
"00411R",2006-08-08,"Drepanosiphum platanoidis",2,"Drepanosiphum",2006,8
"00411R",2006-08-08,"Hyadaphis foeniculi",2,"Hyadaphis",2006,8
"00411R",2006-08-08,"Macrosiphum euphorbiae",2,"Macrosiphum",2006,8
"00411R",2006-08-08,"Rhopalosiphum padi",2,"Rhopalosiphum",2006,8
"00411R",2006-08-08,"Sitobion avenae",4,"Sitobion",2006,8
"00411R",2006-08-08,"Thecabius affinis",2,"Thecabius",2006,8
